"","treenode_id","connector_id","prepost","x","y","z","skid"
"642",7532965,7567966,1,25331.6,40863.438,22100,2472573
"643",7577189,7577188,1,25295.195,43740.67,23150,2472573
"644",7467295,7551341,1,22545.916,39476.11,24350,2472595
"645",7467305,7567946,1,22773.37,40445.33,26200,2472595
"646",7567551,7567550,1,17374,38811.035,25000,2472657
"647",7468249,7572362,1,20317.426,40736.586,26950,2472671
"648",7468217,7541765,1,20630.395,41349.47,26200,2472671
"649",7468291,7564708,1,19405.867,42437.734,23100,2472671
"650",7468331,7564761,1,21895.068,43566.137,20500,2472671
"651",7468351,7564801,1,22119.068,44142.938,19000,2472671
"652",7533021,7567564,1,18286.8,39695.836,24100,2472671
"653",7332765,7332764,1,18572.092,41714.72,23900,2472671
"654",7569919,7569917,1,27477.797,42006.066,24950,2472687
"655",7569924,7569922,1,27903.396,41790.465,24300,2472687
"656",7468859,7569152,1,20951.47,37121.465,22950,2472712
"657",7532979,7566579,1,23030,39631.434,22600,2472712
"658",7533040,7567550,1,17374,38811.035,25000,2472766
"659",7567566,7567564,1,18286.8,39695.836,24100,2472766
"660",7567587,7567581,1,18970,39284.234,24200,2472766
"661",7533040,7569003,1,18354,39345.836,24800,2472766
"662",7469224,7643743,1,18125.525,40280.934,22800,2472766
"663",7469466,7547309,1,22208.979,51966.21,25000,2472777
"664",7470994,7569731,1,20296.27,31984.4,23050,2472983
"665",7548245,7536990,1,23841.996,43805.07,24000,2473250
"666",7540239,7569922,1,27903.396,41790.465,24300,2473250
"667",7567942,7551341,1,22545.916,39476.11,24350,2473250
"668",7577191,7577188,1,25295.195,43740.67,23150,2473250
"669",7536978,7536977,1,23416.396,43222.67,24850,2473250
"670",7569920,7569917,1,27477.797,42006.066,24950,2473279
"671",7569923,7569922,1,27903.396,41790.465,24300,2473279
"672",7577184,7577183,1,27375.596,43385.07,22850,2473279
"673",7572385,7541825,1,15861.69,40361.387,25150,2473306
"674",7541836,7541835,1,17270.4,40746.535,24500,2473306
"675",7473499,7572405,1,16973.6,40841.734,24700,2473306
"676",7473495,7572431,1,16626.4,41278.535,24100,2473306
"677",7473494,7564689,1,18078.668,41278.535,23750,2473306
"678",7564709,7564708,1,19405.867,42437.734,23100,2473306
"679",7564741,7564740,1,21472.268,43204.934,22050,2473306
"680",7564762,7564761,1,21895.068,43566.137,20500,2473306
"681",7564778,7564777,1,22113.469,43913.336,19500,2473306
